sku,title,product_type,size,images,total_price,sale_price,for_year_old,country_TM,classification,delivery,group_prod
673693,Cleansing and whitening face mask Sane with zinc oxide + vitamins PP B1 E A B7,simple,100ml,https://u.makeup.com.ua/k/kz/kzjwseek49xf.jpg|https://u.makeup.com.ua/p/p7/p7r54ki35r12.jpg,120,80,16+,Ukraine,mass market,,Sane Cleansing And Whitening Mask
201613,Anti-acne face mask,simple,50ml,https://u.makeup.com.ua/z/za/za37sxayjjsm.jpg|https://u.makeup.com.ua/9/9x/9xv1jqxg6ma2.jpg|https://u.makeup.com.ua/0/0q/0qstdxfmjhn8.jpg|https://u.makeup.com.ua/g/gm/gm7kwgddgn3o.jpg,79,,18+,Ukraine,pharmacy,,Sulsena (case)
65167,Яблочная маска красоты для жирной и комбинированной кожиApple beauty mask for oily and combination skin,simple,250ml,https://u.makeup.com.ua/8/8j/8jlr63cwfnhl.jpg|https://u.makeup.com.ua/l/lh/lhkzgmfz5eak.jpg|https://u.makeup.com.ua/6/6l/6lxgwgois8w8.jpg|https://u.makeup.com.ua/z/zz/zz4n7xparopl.jpg|https://u.makeup.com.ua/v/vt/vt2a4zasyqcw.jpg,1044,891,25+,Israel,professional,,Christina Sea Herbal Beauty Mask Green Apple
655175,Night face cream mask,variable,50ml,https://u.makeup.com.ua/s/s5/s5rtyjajlkza.jpg|https://u.makeup.com.ua/r/rc/rccigfcs9s8s.jpg|https://u.makeup.com.ua/m/ml/mlt6cpprnvui.jpg|https://u.makeup.com.ua/8/8y/8ye8quopfdl3.jpg,193,154,25+,France,mass market,,L'Oreal Paris Hyaluron Expert
655176,Night face cream mask,variable,50ml,https://u.makeup.com.ua/s/s5/s5rtyjajlkza.jpg|https://u.makeup.com.ua/r/rc/rccigfcs9s8s.jpg|https://u.makeup.com.ua/m/ml/mlt6cpprnvui.jpg|https://u.makeup.com.ua/8/8y/8ye8quopfdl3.jpg,143,,25+,France,mass market,from EU,L'Oreal Paris Hyaluron Expert
13176,Cleansing gel mousse for oily and problem skin,variable,200ml,https://u.makeup.com.ua/f/ft/ftt9ffvavz2b.png|https://u.makeup.com.ua/b/bb/bbcllurjejac.jpg|https://u.makeup.com.ua/x/xs/xsd2ax8zhnti.jpg|https://u.makeup.com.ua/d/dj/djavyfxjrson.jpg|https://u.makeup.com.ua/t/tx/txqjf1agrpv0.jpg,307,,18+,France,pharmacy,,La Roche-Posay Effaclar Purifying Foaming Gel
13177,Cleansing gel mousse for oily and problem skin,variable,200ml,https://u.makeup.com.ua/f/ft/ftt9ffvavz2b.png|https://u.makeup.com.ua/b/bb/bbcllurjejac.jpg|https://u.makeup.com.ua/x/xs/xsd2ax8zhnti.jpg|https://u.makeup.com.ua/d/dj/djavyfxjrson.jpg|https://u.makeup.com.ua/t/tx/txqjf1agrpv0.jpg,290,,18+,France,pharmacy,from EU,La Roche-Posay Effaclar Purifying Foaming Gel
13178,Cleansing gel mousse for oily and problem skin,variable,400ml,https://u.makeup.com.ua/f/ft/ftt9ffvavz2b.png|https://u.makeup.com.ua/b/bb/bbcllurjejac.jpg|https://u.makeup.com.ua/x/xs/xsd2ax8zhnti.jpg|https://u.makeup.com.ua/d/dj/djavyfxjrson.jpg|https://u.makeup.com.ua/t/tx/txqjf1agrpv0.jpg,426,,18+,France,pharmacy,,La Roche-Posay Effaclar Purifying Foaming Gel
13179,Cleansing gel mousse for oily and problem skin,variable,400ml,https://u.makeup.com.ua/f/ft/ftt9ffvavz2b.png|https://u.makeup.com.ua/b/bb/bbcllurjejac.jpg|https://u.makeup.com.ua/x/xs/xsd2ax8zhnti.jpg|https://u.makeup.com.ua/d/dj/djavyfxjrson.jpg|https://u.makeup.com.ua/t/tx/txqjf1agrpv0.jpg,330,,18+,France,pharmacy,from EU,La Roche-Posay Effaclar Purifying Foaming Gel
631667,Cleansing gel for washing,variable,200ml,https://u.makeup.com.ua/d/dt/dtx20ucjcepy.jpg|https://u.makeup.com.ua/k/kg/kgr6ghvomomv.jpg|https://u.makeup.com.ua/p/pt/pt7tfptzfneq.jpg|https://u.makeup.com.ua/t/ty/tysdewkpv5mb.jpg,338,,18+,France,pharmacy,from EU,Vichy Normaderm Phytosolution Intensive Purifying Gel
631668,Cleansing gel for washing,variable,400ml,https://u.makeup.com.ua/d/dt/dtx20ucjcepy.jpg|https://u.makeup.com.ua/k/kg/kgr6ghvomomv.jpg|https://u.makeup.com.ua/p/pt/pt7tfptzfneq.jpg|https://u.makeup.com.ua/t/ty/tysdewkpv5mb.jpg,500,,18+,France,pharmacy,from EU,Vichy Normaderm Phytosolution Intensive Purifying Gel
65209,Natural cleanser for all types of skin,simple,300ml,https://u.makeup.com.ua/s/sv/svh3d2n7lkcz.jpg|https://u.makeup.com.ua/o/of/of49cobendte.jpg,827,707,18+,Israel,professional,,Christina Fresh Pure & Natural Cleanser
61531,Antibacterial tonic,simple,200ml,https://u.makeup.com.ua/b/bp/bpyq9vwqpkoy.jpg|https://u.makeup.com.ua/g/gx/gx9ysdkv6b4n.jpg|https://u.makeup.com.ua/u/un/unswdgcmy15x.jpg,40,30,18+,Ukraine,mass market,,Dr. Sante Cucumber Balance Control
894164,Soothing facial toner,simple,100ml,https://u.makeup.com.ua/d/d9/d9bilybhnpg2.jpg,115,104,16+,Ukraine,mass market,,Sane Aloe Vera 2% + Probiotic Calming Face Toner
410181,Aloe Salicylic Acid Facial Toner,simple,200ml,https://u.makeup.com.ua/t/tr/trzs8tavclmf.jpg|https://u.makeup.com.ua/s/sf/sfg9gmanoamk.jpg|https://u.makeup.com.ua/m/mt/mtjvcawwqby8.jpg|https://u.makeup.com.ua/a/ah/ah1ztbvzeznu.jpg,520,416,18+,Korea,natural,,Benton Aloe BHA Skin Toner
