sku,title,product_type,size,images,total_price,sale_price,year_of_fragrance,country_TM,classification,delivery,group_prod,shipping_class
8386,Blue Seduction Antonio Banderas,simple,150ml,https://u.makeup.com.ua/g/gy/gyfd8oal8lxj.jpg|https://u.makeup.com.ua/q/qc/qcdxrknxlh7n.jpg,150,138,2008,Spain,middle market,local warehouse,Deodorant,shipping_class_1
83831,Blue Seduction Antonio Banderas,variable,50ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,249,,2007,Spain,middle market,local warehouse,toilet water,shipping_class_1
83832,Blue Seduction Antonio Banderas,variable,50ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,243,,2007,Spain,middle market,from EU,toilet water,shipping_class_1
83833,Blue Seduction Antonio Banderas,variable,100ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,425,,2007,Spain,middle market,local warehouse,toilet water,shipping_class_1
83834,Blue Seduction Antonio Banderas,variable,100ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,400,,2007,Spain,middle market,from EU,toilet water,shipping_class_1
83835,Blue Seduction Antonio Banderas,variable,200ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,675,,2007,Spain,middle market,local warehouse,toilet water,shipping_class_1
83836,Blue Seduction Antonio Banderas,variable,200ml,https://u.makeup.com.ua/h/hl/hlq5eznnw7ko.jpg|https://u.makeup.com.ua/o/ou/oujn4h2qy4dp.jpg,643,,2007,Spain,middle market,from EU,toilet water,shipping_class_1
351791,Creed Aventus,variable,50ml,https://u.makeup.com.ua/x/xy/xyebkcb386lw.jpg|https://u.makeup.com.ua/w/wa/wauenzksaiap.jpg,3172,,2010,France,niche,local warehouse,perfumed water,shipping_class_1
351792,Creed Aventus,variable,100ml,https://u.makeup.com.ua/x/xy/xyebkcb386lw.jpg|https://u.makeup.com.ua/w/wa/wauenzksaiap.jpg,5052,,2010,France,niche,local warehouse,perfumed water,shipping_class_1
13761,Dior Fahrenheit,variable,50ml,https://u.makeup.com.ua/5/5k/5kn8tzyctg89.jpg|https://u.makeup.com.ua/h/hc/hckzddjqelbh.jpg,1553,,1988,France,elite,local warehouse,toilet water,shipping_class_1
13762,Dior Fahrenheit,variable,100ml,https://u.makeup.com.ua/5/5k/5kn8tzyctg89.jpg|https://u.makeup.com.ua/h/hc/hckzddjqelbh.jpg,1809,,1988,France,elite,local warehouse,toilet water,shipping_class_1
13763,Dior Fahrenheit,variable,200ml,https://u.makeup.com.ua/5/5k/5kn8tzyctg89.jpg|https://u.makeup.com.ua/h/hc/hckzddjqelbh.jpg,3248,,1988,France,elite,local warehouse,toilet water,shipping_class_1
13764,Dior Fahrenheit,variable,200ml,https://u.makeup.com.ua/5/5k/5kn8tzyctg89.jpg|https://u.makeup.com.ua/h/hc/hckzddjqelbh.jpg,3113,,1988,France,elite,from EU,toilet water,shipping_class_1
9694,Armand Basi In Blue,simple,100ml,https://u.makeup.com.ua/k/kd/kdkvb48zlolf.jpg|https://u.makeup.com.ua/t/ti/tixrukg9bxgt.jpg,447,390,2005,Spain,elite,local warehouse,toilet water,shipping_class_1
15321,Clinique Happy For Men,variable,50ml,https://u.makeup.com.ua/t/tv/tvk7uibqs0zz.jpg|https://u.makeup.com.ua/l/li/liuvidpqcykr.jpg,1800,697,1999,USA,middle up,local warehouse,cologne,shipping_class_1
15322,Clinique Happy For Men,variable,100ml,https://u.makeup.com.ua/t/tv/tvk7uibqs0zz.jpg|https://u.makeup.com.ua/l/li/liuvidpqcykr.jpg,2500,822,1999,USA,middle up,local warehouse,cologne,shipping_class_1
12021,Chanel Egoiste Platinum,variable,50ml,https://u.makeup.com.ua/p/pz/pzwrynipndut.jpg|https://u.makeup.com.ua/u/u0/u0rmx99j9j0b.jpg,2100,1942,1993,France,elite,local warehouse,toilet water,shipping_class_1
12022,Chanel Egoiste Platinum,variable,100ml,https://u.makeup.com.ua/p/pz/pzwrynipndut.jpg|https://u.makeup.com.ua/u/u0/u0rmx99j9j0b.jpg,3185,2688,1993,France,elite,local warehouse,toilet water,shipping_class_1
102240,Clive Christian 1872 Men,simple,50ml,https://u.makeup.com.ua/z/zg/zgv4othprjor.jpg|https://u.makeup.com.ua/k/ko/ko5ukkoosufi.jpg,5310,,2001,UK,niche,local warehouse,perfume,shipping_class_1
515891,Evis Intense Collection №501,simple,50ml,https://u.makeup.com.ua/n/nz/nzsdr57puvtz.jpg|https://u.makeup.com.ua/q/qd/qdpefc8t22ox.jpg,356,309,2000,Ukraine,mass market,local warehouse,perfume,shipping_class_1
1204371,Adidas Get Ready for Him,variable,150ml,https://u.makeup.com.ua/j/jz/jztstnqttx6n.jpg,87,,2010,Germany,mass market,local warehouse,Deodorant,shipping_class_1
1204372,Adidas Get Ready for Him,variable,150ml,https://u.makeup.com.ua/j/jz/jztstnqttx6n.jpg,80,,2010,Germany,mass market,from EU,Deodorant,shipping_class_1
